timestamp,accel_x,accel_y,accel_z
1637208708102,106.6909,-26.9998,11.0006
1637208708118,107.4388,-20.1391,9.2369
1637208708134,106.7087,-18.6144,5.9276
1637208708148,105.3374,-19.82,9.0914
1637208708164,101.3305,-21.8941,11.0188
1637208708180,95.5071,-22.1069,11.6188
1637208708194,93.8865,-20.3518,10.6006
1637208708210,94.6523,-16.8771,8.655
1637208708226,91.3043,-14.2356,9.2914
1637208708240,90.8057,-12.516,10.3097
1637208708256,90.6276,-12.6046,9.1096
1637208708272,91.2687,-14.0406,7.3277
1637208708286,91.1975,-16.3984,7.7459
1637208708302,92.5865,-15.0866,7.0368
1637208708318,92.9071,-13.1188,7.6732
1637208708332,93.0495,-12.1437,8.7278
1637208708348,94.6701,-12.126,9.6915
1637208708364,98.8551,-12.8351,9.5642
1637208708378,102.0072,-15.3702,8.3277
1637208708394,103.1826,-15.3348,9.1642
1637208708410,101.4374,-12.6224,10.2369
1637208708426,101.5798,-7.2685,10.1097
1637208708440,102.6661,-3.7761,8.946
1637208708456,104.1977,-2.4819,8.5459
1637208708472,106.5662,-4.3256,7.9459
1637208708486,108.8991,-6.5062,6.6731
1637208708502,111.7485,-8.5272,6.164
1637208708518,112.5321,-7.0735,6.4549
1637208708532,113.8321,-4.3611,8.7641
1637208708548,117.7143,-2.0565,8.2005
1637208708564,125.1939,-1.9678,4.473
1637208708578,125.372,-7.5344,-0.1818
1637208708594,118.1061,-11.3282,-0.9637
1637208708610,109.8964,-15.4943,3.182
1637208708624,103.8415,-17.994,6.0367
1637208708640,98.3387,-17.7812,5.473
1637208708656,90.4139,-19.4122,5.8003
1637208708670,83.5932,-21.0964,6.4913
1637208708686,78.4466,-23.3301,7.7095
1637208708702,76.4876,-25.6702,6.8549
1637208708716,80.5658,-26.5034,6.0913
1637208708732,88.544,-26.8757,3.0002
1637208708748,94.777,-25.4575,-0.9273
